Extraction du;Type de dépenses;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Dépense;Libellé Ligne Dépense;Montant Dépenses PLF 2023;Montant Dépenses Amendements 2023;Montant Dépenses LFI 2023;Prévision  Dépenses 2024;Prévision Dépenses 2025
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-37;Taxes;1300000.0;0.0;1300000.0;1325000.0;1350000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-4;fonctionnement pétrolier;901-4-04;Fonctionnement pétrolier;32315400.0;0.0;32315400.0;32360000.0;32410000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-16;Versements au budget général;552000000.0;0.0;552000000.0;78000000.0;78000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;907.0;Opérations commerciales des domaines;;;907-0-36;Gestion des cités administratives;36000000.0;0.0;36000000.0;36000000.0;36000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-6;Remboursement défense;901-6-06;Remboursement au budget général des armées;3972000.0;0.0;3972000.0;3972000.0;3972000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-73;Gestion de la trésorerie : Rémunération des fonds non consommables versés par l'État;751000000.0;0.0;751000000.0;751000000.0;751000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-76;Versements au budget général;2779196.0;0.0;2779196.0;455469.0;455469.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-37;Intérêts moratoires et change;400000.0;0.0;400000.0;400000.0;400000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-31;Achats de matières premières, fournitures, rechanges et sous-traitances;285000000.0;0.0;285000000.0;286000000.0;271000000.0
20221013_16_01_29;Depenses Compte d'opération monétaire;2023.0;953.0;Pertes et bénéfices de change;;;953-0-30;Dépenses;30000000.0;0.0;30000000.0;30000000.0;30000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-2;Achat de carburant en secteur civil;901-2-02;Achat de carburant en secteur civil;200862082.0;0.0;200862082.0;208366827.0;225333505.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-33;Autres services extérieurs;16000000.0;0.0;16000000.0;16000000.0;15000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;907.0;Opérations commerciales des domaines;;;907-0-31;Ventes mobilières;3500000.0;0.0;3500000.0;3500000.0;3500000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-53;Dette négociable : intérêts des OAT, hors OAT indexées;32620000000.0;0.0;32620000000.0;35212000000.0;39882000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;907.0;Opérations commerciales des domaines;;;907-0-39;Opérations réalisées en application de décisions de justice;200000.0;0.0;200000.0;200000.0;200000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-54;Dette négociable : intérêts des OAT indexées;2873000000.0;0.0;2873000000.0;2712000000.0;2963000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-72;Indemnisations, frais juridiques et autres frais directement liés;297368.0;0.0;297368.0;297368.0;297368.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-55;Dette négociable : charge d'indexation du capital des OAT;13915000000.0;0.0;13915000000.0;8704000000.0;7139000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-32;Entretien et fonctionnement des ateliers;3895000.0;0.0;3895000.0;3935000.0;3985000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-61;Versements aux détenus;49100000.0;0.0;49100000.0;55000000.0;60000000.0
20221013_16_01_29;Depenses Compte d'opération monétaire;2023.0;951.0;Émission des monnaies métalliques;;;951-0-30;Dépenses;103700000.0;0.0;103700000.0;100900000.0;100900000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;910.0;Couverture des risques financiers de l'État;;;910-0-34;Autres charges et versements;954000000.0;0.0;954000000.0;39000000.0;0.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-32;Services extérieurs;75000000.0;0.0;75000000.0;75000000.0;71000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-51;Dette négociable : intérêts des BTF;2869000000.0;0.0;2869000000.0;3674000000.0;3957000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-1;Acquisition de carburant en secteur militaire;901-1-01;Acquisition de carburant en secteur militaire;571684388.0;0.0;571684388.0;593044048.0;641333823.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-71;Gestion de la trésorerie : intérêts des comptes de dépôts des correspondants du Trésor et assimilés;187000000.0;0.0;187000000.0;211000000.0;214000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-39;Immobilisations;50000000.0;0.0;50000000.0;46000000.0;46000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-22;Indemnisations, frais juridiques et autres frais directement liés;113500000.0;0.0;113500000.0;100900000.0;85600000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-36;Autres dépenses de gestion courante;2000000.0;0.0;2000000.0;2000000.0;2000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-36;Dépenses diverses ou accidentelles;15000.0;0.0;15000.0;15000.0;15000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-52;Achats de prestations de service;28000000.0;0.0;28000000.0;28000000.0;28000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-35;Remboursement au budget général de l'État des émoluments d'agents affectés à la Régie industrielle des établissements pénitentiaires;1500000.0;0.0;1500000.0;1525000.0;1550000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-12;Indemnisations, frais accessoires sur sinistres, frais juridiques et autres frais directement liés;631000000.0;0.0;631000000.0;631000000.0;631000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-56;Dette négociable : frais et commissions directement liés à la gestion de la dette négociable;20000000.0;0.0;20000000.0;20000000.0;20000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-66;Versements au budget général;8300000.0;0.0;8300000.0;8300000.0;8300000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-62;Impôts et cotisations sociales dus au titre des versements aux détenus en contrepartie de leur travail;14000000.0;0.0;14000000.0;14000000.0;14000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-60;Dette : intérêts payés sur dette de SNCF Réseau reprise par l'État;900000000.0;0.0;900000000.0;806000000.0;686000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;904.0;Lancement de certains matériels de guerre et matériels assimilés;;;904-0-30;Dépenses;4031126.0;0.0;4031126.0;5546100.0;4668750.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-51;Achats de biens de cantine;111000000.0;0.0;111000000.0;114000000.0;116000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-7;Exploitation de l'ODM;901-7-07;Exploitation de l'oléoduc Donges-Metz;125000.0;0.0;125000.0;125000.0;125000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-34;Impôts et taxes;9000000.0;0.0;9000000.0;9000000.0;9000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;907.0;Opérations commerciales des domaines;;;907-0-38;Zone des cinquante pas géométriques dans les départements de la Guadeloupe et de la Martinique;500000.0;0.0;500000.0;500000.0;500000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-33;Renouvellement des matériels et installations d'exploitation;2425000.0;0.0;2425000.0;2425000.0;2450000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-35;Remboursement, au budget de la défense, de charges de personnel;305500000.0;0.0;305500000.0;303000000.0;302500000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-57;Dette : intérêts payés sur autres dettes reprises par l'État;81000000.0;0.0;81000000.0;0.0;0.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-31;Achats;8625000.0;0.0;8625000.0;8725000.0;8850000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;910.0;Couverture des risques financiers de l'État;;;910-0-31;Versements aux contreparties financières, pour l'acquisition des instruments de couverture des risques;954000000.0;0.0;954000000.0;39000000.0;0.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-5;Investissement pétrolier;901-5-05;Investissement pétrolier;28600000.0;0.0;28600000.0;19260000.0;20590000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-40;Acquisition Quotas carbone;1000000.0;0.0;1000000.0;1000000.0;1000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-34;Rémunération du travail des détenus;8700000.0;0.0;8700000.0;8750000.0;8800000.0
