Type de dépenses;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Dépense;Libellé Ligne Dépense;Montant Dépenses PLF 2024;Montant Dépenses LFI 2024;Prévision  Dépenses 2025;Prévision Dépenses 2026
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-36;Dépenses diverses ou accidentelles;15000.0;15000.0;15000.0;15000.0
Depenses Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-61;Versements aux détenus;60000000.0;60000000.0;70000000.0;81000000.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-73;Gestion de la trésorerie : Rémunération des fonds non consommables versés par l'État;752000000.0;752000000.0;752000000.0;0.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-36;Autres dépenses de gestion courante;2000000.0;2000000.0;2000000.0;2000000.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-4;fonctionnement pétrolier;901-4-04;Fonctionnement pétrolier;38000000.0;38000000.0;40000000.0;42000000.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-54;Dette négociable : intérêts des OAT indexées;2590000000.0;2590000000.0;2844000000.0;3133000000.0
Depenses Compte de commerce;2024.0;904.0;Lancement de certains matériels de guerre et matériels assimilés;;;904-0-30;Dépenses;9929100.0;9929100.0;27600650.0;16711305.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-56;Dette négociable : frais et commissions directement liés à la gestion de la dette négociable;20000000.0;20000000.0;20000000.0;20000000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-36;Versements au budget général;3000000.0;3000000.0;0.0;0.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-32;Entretien et fonctionnement des ateliers;4200000.0;4200000.0;3285000.0;3385000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-32;Services extérieurs;91800000.0;91800000.0;91500000.0;93200000.0
Depenses Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-31;Ventes mobilières;3500000.0;3500000.0;3500000.0;3500000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-37;Intérêts moratoires et change;250000.0;250000.0;250000.0;250000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-31;Achats de matières premières, fournitures, rechanges et sous-traitances;257400000.0;257400000.0;256600000.0;261400000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-40;Acquisition Quotas carbone;1200000.0;1200000.0;1200000.0;1200000.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-51;Dette négociable : intérêts des BTF;6677000000.0;6677000000.0;6727000000.0;7043000000.0
Depenses Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-52;Achats de prestations de service;22500000.0;22500000.0;23350000.0;24150000.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-55;Dette négociable : charge d'indexation du capital des OAT;8749000000.0;8749000000.0;6104000000.0;6082000000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-39;Immobilisations;52600000.0;52600000.0;51800000.0;49500000.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-1;Acquisition de carburant en secteur militaire;901-1-01;Acquisition de carburant en secteur militaire;601202493.0;601202493.0;613622801.0;633154931.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-5;Investissement pétrolier;901-5-05;Investissement pétrolier;30000000.0;30000000.0;31000000.0;32000000.0
Depenses Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-36;Gestion des cités administratives;36000000.0;36000000.0;36000000.0;36000000.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-33;Renouvellement des matériels et installations d'exploitation;3000000.0;3000000.0;2400000.0;2000000.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-34;Rémunération du travail des détenus;9000000.0;9000000.0;10000000.0;10500000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-76;Versements au budget général;1400000.0;1400000.0;200000.0;1600000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-22;Indemnisations, frais juridiques et autres frais directement liés;102000000.0;102000000.0;94500000.0;91000000.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-31;Achats;9585000.0;9585000.0;9800000.0;10000000.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-37;Taxes;1300000.0;1300000.0;1300000.0;1300000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-8;Stabilisation de taux;915-8-83;Intérêts défavorables sur stabilisation en USD;53057558.0;53057558.0;63074026.0;58661102.0
Depenses Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-62;Impôts et cotisations sociales dus au titre des versements aux détenus en contrepartie de leur travail;17200000.0;17200000.0;17600000.0;18100000.0
Depenses Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-39;Opérations réalisées en application de décisions de justice;200000.0;200000.0;200000.0;200000.0
Depenses Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-38;Zone des cinquante pas géométriques dans les départements de la Guadeloupe et de la Martinique;500000.0;500000.0;500000.0;500000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-16;Versements au budget général;447000000.0;447000000.0;355000000.0;324800000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-34;Impôts et taxes;11800000.0;11800000.0;11800000.0;11900000.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-2;Achat de carburant en secteur civil;901-2-02;Achat de carburant en secteur civil;229220196.0;229220196.0;233955681.0;241402687.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-5;Risque exportateur;915-5-52;Indemnisations, frais juridiques et autres frais directement liés;6700000.0;6700000.0;6700000.0;6700000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-8;Stabilisation de taux;915-8-81;Intérêts défavorables sur stabilisation en euros;159635530.0;159635530.0;161610134.0;181787422.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-72;Indemnisations, frais juridiques et autres frais directement liés;300000.0;300000.0;900000.0;900000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-66;Versements au budget général;10000000.0;10000000.0;10000000.0;10000000.0
Depenses Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-51;Achats de biens de cantine;122300000.0;122300000.0;124000000.0;127000000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-33;Autres services extérieurs;20100000.0;20100000.0;20100000.0;20500000.0
Depenses Compte de commerce;2024.0;910.0;Couverture des risques financiers de l'État;;;910-0-34;Autres charges et versements;501500000.0;501500000.0;0.0;0.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-53;Dette négociable : intérêts des OAT, hors OAT indexées;37197000000.0;37197000000.0;43430000000.0;50139000000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-12;Indemnisations, frais accessoires sur sinistres, frais juridiques et autres frais directement liés;263000000.0;263000000.0;421900000.0;421900000.0
Depenses Compte d'opération monétaire;2024.0;953.0;Pertes et bénéfices de change;;;953-0-30;Dépenses;30000000.0;30000000.0;30000000.0;30000000.0
Depenses Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-35;Remboursement, au budget de la défense, de charges de personnel;321500000.0;321500000.0;329900000.0;333500000.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-7;Exploitation de l'ODM;901-7-07;Exploitation de l'oléoduc Donges-Metz;125000.0;125000.0;125000.0;125000.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-71;Gestion de la trésorerie : intérêts des comptes de dépôts des correspondants du Trésor et assimilés;471000000.0;471000000.0;419000000.0;420000000.0
Depenses Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-32;Indemnisations, restitutions de primes aux assurés, frais juridiques et autres frais directement liés;3000000.0;3000000.0;3000000.0;3000000.0
Depenses Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-35;Remboursement au budget général de l'État des émoluments d'agents affectés à la Régie industrielle des établissements pénitentiaires;1600000.0;1600000.0;1600000.0;1600000.0
Depenses Compte de commerce;2024.0;910.0;Couverture des risques financiers de l'État;;;910-0-31;Versements aux contreparties financières, pour l'acquisition des instruments de couverture des risques;501500000.0;501500000.0;0.0;0.0
Depenses Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-60;Dette : intérêts payés sur dette de SNCF Réseau reprise par l'État;807000000.0;807000000.0;686000000.0;658000000.0
Depenses Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-6;Remboursement défense;901-6-06;Remboursement au budget général des armées;3500000.0;3500000.0;3500000.0;3500000.0
Depenses Compte d'opération monétaire;2024.0;951.0;Émission des monnaies métalliques;;;951-0-30;Dépenses;92100000.0;92100000.0;100900000.0;100900000.0
