Nature juridique du bénéficiaire;empty;empty;empty;Rattachement d'un operateur;empty;Bénéficiaire de la taxe;empty;Taxe affectée;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;Référence juridique
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;750412330.0;;;87.0;Etablissement public foncier local de Martinique;20.0;Taxes spéciales d'équipement;3000000.0;;;4037404.0;;;4037404.0;;;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;;Mission;Programme;;Libellé;;Libellé;;Plafond 2022;Reversement BG 2022;;Plafond 2023;Reversement BG 2023;;Plafond 2024;Reversement BG 2024;Début du plafonnement
Autres bénéficiaires;Autres personnes morales de droit privé;Exploitant public;;;;44.0;FNAL - Fonds national d'aide au logement;21.0;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;66200000.0;66200000.0;0.0;66200000.0;66200000.0;0.0;66200000.0;66200000.0;0.0;LFR 2016 et LFI 2017
Organismes d'administration centrale;Autres personnes morales de droit public dépendant de l'Etat;Groupement d'intérêt public (GIP);;;;168.0;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne"" et Communes concernées";229.0;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""Accompagnement""";57809600.0;;;57809600.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;89.0;Taxe sur les déclarations et notifications de produit du tabac;;;;;;;;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130006372.0;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;7.0;ASP - Agence de services et de paiement;11.0;Indemnité de défrichement;3000000.0;2000000.0;1000000.0;3000000.0;2000000.0;1000000.0;3000000.0;2000000.0;1000000.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Associations;Association déclarée;784671497.0;;;91.0;ANFA - Association nationale pour la formation automobile;87.0;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;32656722.0;;;32656722.0;;;32656722.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;1.0;PEFPC : Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,30 % des revenus professionnels ou de l'assiette forfaitaire déterminés à l'article L. 731-16 du code rural et de la pêche maritime;62442299.0;;;66308000.0;;;63412007.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;530428903.0;;;84.0;Etablissement public foncier local Béarn - Pyrénées;20.0;Taxes spéciales d'équipement;2925000.0;;;2598658.0;;;2598658.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092561.0;;;117.0;CNSA;156.0;Contribution additionnelle de solidarité autonomie (CASA);822000000.0;;;864000000.0;;;828000000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130003262.0;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41.0;ANTS - Agence nationale des titres sécurisés;55.0;Fraction des droits de timbre sur les cartes nationales d'identité;24855000.0;11250000.0;13605000.0;24855000.0;12000000.0;12855000.0;23920000.0;12000000.0;11920000.0;LFI 2012
Organismes d'administration centrale;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;130011257.0;;;39.0;ACPR - Autorité de contrôle prudentiel et de résolution;49.0;Contributions pour frais de contrôle;218500000.0;195000000.0;23500000.0;223100000.0;195000000.0;28100000.0;232129000.0;220000000.0;12129000.0;LFI 2014
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14.0;SGP - Société du Grand Paris;84.0;Taxe spéciale d'équipement au profit de l'établissement public Société du Grand Paris;67100000.0;67100000.0;0.0;67100000.0;67100000.0;0.0;67079589.0;67100000.0;0.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130002702.0;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;2.0;INAO - Institut national de l'origine et de la qualité;3.0;Droit sur les produits bénéficiant d'une appellation d'origine ou d'une indication géographique protégée (INAO);6100000.0;7500000.0;0.0;6100000.0;7500000.0;0.0;6100000.0;7500000.0;0.0;LFI 2012
Autres bénéficiaires;Associations;Association déclarée;810158956.0;;;188.0;AGFPN - Association de Gestion du Fonds Paritaire National – AGFPN.;264.0;Contribution patronale au dialogue social (0,016%);98045343.0;;;98045343.0;;;111000000.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;15.0;Personnes publiques ou privées exploitant des aérodromes pour lesquels : - le nombre annuel des mouvements d'aéronefs de masse maximale au décollage supérieure ou égale à 20 tonnes a dépassé 20 000 lors de l'une des cinq années civiles précédentes, - ou le nombre annuel des mouvements d'aéronef de masse maximale au décollage supérieure ou égale à 2 tonnes a dépassé 50 000 lors de l'une des 5 années civiles précédentes, si les plans d'exposition au bruit ou de gêne sonore de cet aérodrome possèdent un domaine d'intersection avec les plans d'exposition au bruit ou de gêne sonore d'un aérodrome présentant les caractéristiques définies au tiret précédent.;23.0;Taxe sur les nuisances sonores aériennes;36800000.0;55000000.0;0.0;44000000.0;55000000.0;0.0;49600000.0;55000000.0;0.0;LFI 2014
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035107.0;;;123.0;FSV;136.0;Contribution sociale généralisée (CSG);19536000000.0;;;20337000000.0;;;19554000000.0;;;
Autres bénéficiaires;Associations;Association déclarée;349958876.0;;;93.0;Association de gestion du fonds de développement pour l'insertion professionnelle des handicapés (AGEFIPH);91.0;Contribution annuelle au fonds de développement pour l'insertion professionnelle des handicapés (FIPH);442400000.0;;;442400000.0;;;442400000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national ayant fonction d'administration centrale;180080012.0;Économie;134 Développement des entreprises et régulations;172.0;INPI - Institut national de la propriété industrielle;231.0;Redevances perçues à l'occasion des procédures et formalités en matière de propriété industrielle ainsi que de registre du commerce et des sociétés, établies par divers textes;170000000.0;94000000.0;76000000.0;182220000.0;94000000.0;88220000.0;170000000.0;94000000.0;76000000.0;LFI 2021
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180092272.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;110.0;CGLLS - Caisse de garantie du logement locatif social;121.0;Cotisation versée par les organismes HLM et les SEM;384000000.0;;;342622000.0;;;272800000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime spécial de Sécurité Sociale;478650385.0;;;97.0;Caisse nationale de retraite des industries électriques et gazières;97.0;Contribution tarifaire d'acheminement (CTA);1643360000.0;;;1702180000.0;;;1671000000.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;163.0;Taxe pour non-raccordement à l'égout - Participation pour le financement de l'assainissement collectif (PAC);472229.0;;;472229.0;;;646115.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;421198649.0;;;52.0;Etablissement public d'aménagement en Guyane;20.0;Taxes spéciales d'équipement;3471000.0;3405000.0;66000.0;3938000.0;3938000.0;0.0;3938000.0;3938000.0;0.0;LFR 2016 et LFI 2017
Secteur local;Communes;Commune et commune nouvelle;;;;141.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part intercommunale;185.0;Taxe sur les remontées mécaniques;104661.0;;;104661.0;;;652277.0;;;
Secteur local;Régions;Région;237500079.0;;;176.0;Région Ile-de-France;237.0;Redevance pour création de bureaux ou de locaux de recherche en région Ile-de-France;;;;;;;;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180014045.0;;;114.0;Centre national de la fonction publique territoriale (CNFPT);131.0;Cotisation obligatoire;424585241.0;;;493635074.0;;;416500047.0;;;
Secteur social;Organisme mutualiste;Assurance mutuelle agricole;;;;45.0;CAAA - Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;95.0;Cotisation au profit des caisses d’assurances d’accidents agricoles d’Alsace-Moselle;0.0;;;0.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024.0;;;99.0;CNAMTS;101.0;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;234301805.0;;;247188404.0;;;239185625.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445.0;;;102.0;CCMSA (non salariés-maladie);117.0;Taxe sur les boissons sucrées;430945957.0;;;437841092.0;;;452910562.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;207.0;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,25% du montant annuel du plafond de la sécurité sociale;176892756.0;;;181168800.0;;;231271297.0;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;215.0;Comités départementaux et interdépartementaux des pêches maritimes et des élevages marins;290.0;Taxe sur les installations de production d'électricité utilisant l'énergie mécanique du vent situées dans les eaux intérieures ou la mer territoriale;;;;0.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130020464.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;46.0;ANCOLS - Agence nationale de contrôle du logement social;65.0;Prélèvement sur la participation des employeurs à l'effort de construction (PEEC);6450000.0;6450000.0;0.0;6450000.0;6450000.0;0.0;6450000.0;6450000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur local;Communes;Commune et commune nouvelle;;;;134.0;Communes de plus de 5.000 hbts;174.0;Taxe communale additionnelle à certains droits d'enregistrement;3432358520.0;;;3089122668.0;;;3483878686.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Safer anonyme à directoire;623820602.0;;;60.0;Etablissement public foncier de Normandie;20.0;Taxes spéciales d'équipement;10479000.0;9823000.0;656000.0;10151000.0;10151000.0;0.0;10151000.0;10151000.0;0.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;509167680.0;;;78.0;Etablissement public foncier d'Occitanie;20.0;Taxes spéciales d'équipement;23878000.0;22830000.0;1048000.0;31596000.0;31596000.0;0.0;31596000.0;31596000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";144.0;Redevances UMTS 2G et 3G;12835871.0;;;12835871.0;;;7889416.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065.0;;;111.0;CNAF;126.0;Taxe sur les véhicules de société (TVS);732493825.0;;;759818763.0;;;689613997.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;259.0;PEFPC : Participation au financement de la formation des intermittents correspondant au minimum à 2% des rémunérations versées;30245830.0;;;31364926.0;;;33300000.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;157.0;Impôt sur les spectacles, jeux et divertissements;157914466.0;;;157914466.0;;;307461123.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;150.0;TSA - Taxe sur le prix des entrées aux séances organisées par les exploitants d’établissements de spectacles cinématographiques;117865434.0;;;135793000.0;;;156300000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;451638902.0;;;67.0;Etablissement public foncier local des collectivités de Côte-d'Or;20.0;Taxes spéciales d'équipement;2700000.0;;;3051700.0;;;3051700.0;;;
Organismes d'administration centrale;Opérateurs État;Autre établissement public national administratif à compétence territoriale limitée;184503019.0;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;24.0;Agences de l'eau;32.0;Redevance pour obstacle sur les cours d’eau, redevance pour stockage d’eau en période d’étiage, redevance pour la protection du milieu aquatique, redevance pour pollutions diffuses, redevances pour prélèvement sur la ressource en eau, redevances pour pollution de l’eau, redevances pour modernisation des réseaux de collecte, redevances cynégétiques, droit de validation du permis de chasse;2197620000.0;2197620000.0;0.0;2197620000.0;2197620000.0;0.0;2347620000.0;2347620000.0;0.0;LFR 2015 et de la LFI 2016
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;210.0;Fonds pour l'emploi du travail temporaire;287.0;Contribution conventionnelle à la formation pour les entreprises de travail temporaire;65000000.0;;;67405000.0;;;64180000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14.0;SGP - Société du Grand Paris;267.0;Taxe additionnelle régionale de 15% à la taxe de séjour IDF;15000000.0;30000000.0;0.0;20000000.0;25000000.0;0.0;9698326.0;15000000.0;0.0;LFI 2019
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;750757304.0;;;70.0;Etablissement public foncier local du Pays basque;20.0;Taxes spéciales d'équipement;4725000.0;;;4273190.0;;;4273190.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial non doté d'un comptable public;390199669.0;Écologie, développement et mobilité durables;174 Énergie, climat et après-mines;21.0;ANDRA - Agence nationale pour la gestion des déchets radioactifs;29.0;Taxe additionnelle à la taxe sur les installations nucléaires de base - Recherche;65072400.0;55000000.0;10072400.0;65072400.0;55000000.0;10072400.0;65072400.0;55000000.0;10072400.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;882539786.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;202.0;CNM - Centre national de la musique;92.0;Taxe sur les spectacles de variétés;33503617.0;50000000.0;0.0;30000000.0;50000000.0;0.0;35000000.0;50000000.0;0.0;LFI 2012
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";139.0;Contribution sociale de solidarité des sociétés (C3S);4374610165.0;;;4613026419.0;;;4273554075.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;493901102.0;;;73.0;Etablissement public foncier local du Doubs;20.0;Taxes spéciales d'équipement;6975000.0;;;6242100.0;;;6242100.0;;;
Autres bénéficiaires;Associations;Association déclarée;;;;54.0;Organismes de secours et de sauvetage en mer agréés (art. L742-9 code de la sécurité intérieure);290.0;Taxe sur les installations de production d'électricité utilisant l'énergie mécanique du vent situées dans les eaux intérieures ou la mer territoriale;;;;0.0;;;0.0;;;
Secteur local;Collectivités territoriales de l'Outre-Mer;Collectivité et territoire d'Outre Mer;;;;128.0;Collectivités territoriales des DOM;172.0;Droit d'octroi de mer et droit d'octroi de mer régional;1373812346.0;;;1373812346.0;;;1655669863.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;159.0;EPCI concernés - Etablissements publics de coopération intercommunale à fiscalité propre (Communes concernées jusqu'en 2012);219.0;Fraction du Prélèvement sur les paris hippiques affectée aux EPCI sur le territoire desquelles sont ouverts au public un ou plusieurs hippodromes (affectée jusqu'aux mises 2012 versées en 2013 aux Communes concernées);11000000.0;;;11000000.0;;;0.0;;;
Secteur local;Départements;Département;;;;147.0;Départements (part départementale);198.0;Taxe départementale additionnelle à certains droits d'enregistrement;164833485.0;;;148350136.0;;;189123263.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;149.0;Cotisations (normale et supplémentaire) des entreprises cinématographiques;7006399.0;;;10102000.0;;;10600000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775649726.0;;;29.0;CTC - Comité professionnel de développement Cuir, Chaussure, Maroquinerie;37.0;Taxe pour le développement des industries du cuir, de la maroquinerie, de la ganterie et de la chaussure;16500000.0;;;16500000.0;;;16500000.0;;;
Organismes d'administration centrale;Opérateurs État;Groupement d'intérêt public (GIP);130025281.0;Sport, jeunesse et vie associative;219 Sport;201.0;ANS - Agence nationale du sport;72.0;Contribution sur la cession à un service de télévision des droits de diffusion de manifestations ou de compétitions sportives;59063955.0;74100000.0;0.0;59665398.0;59665398.0;0.0;59665398.0;59665398.0;0.0;LFI 2012
Autres bénéficiaires;Associations;Fondation;413812827.0;;;160.0;Fondation du patrimoine;220.0;Fraction du produit des successions en déshérence;0.0;;;0.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";143.0;"Prélèvement sur les contrats d'assurance-vie en deshérence; 'Prélèvement sur les contrats participation et intéressement en déshérence";17183302.0;;;17183302.0;;;18639444.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130003262.0;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41.0;ANTS - Agence nationale des titres sécurisés;52.0;Taxe pour la gestion des certificats d'immatriculation des véhicules;40000000.0;36200000.0;3800000.0;40000000.0;36200000.0;3800000.0;42000000.0;36200000.0;5800000.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Associations;Association déclarée;401415500.0;;;191.0;France Galop et la société d’encouragement à l’élevage du cheval français (SECF);269.0;Redevances sur les paris hippiques;84677756.0;;;84677756.0;;;74057800.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;422097683.0;;;61.0;Etablissement public foncier de l'Ouest Rhône-Alpes;20.0;Taxes spéciales d'équipement;20510000.0;19104000.0;1406000.0;19807000.0;19807000.0;0.0;19807000.0;19807000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065.0;;;111.0;CNAF;128.0;Taxe spéciale sur les conventions d'assurance automobile;1102048584.0;;;1135110042.0;;;1140094481.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;95.0;Autorités organisatrices des transports urbains;94.0;Versement transport dû par les entreprises de plus de 9 salariés implantées en province;;;;;;;;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;532828175.0;;;86.0;Etablissement public foncier local d'Agen;20.0;Taxes spéciales d'équipement;375000.0;;;0.0;;;0.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;140.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part communale;185.0;Taxe sur les remontées mécaniques;5271117.0;;;5271117.0;;;45519732.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;184.0;Taxe de ski de fond;2175955.0;;;2175955.0;;;2309618.0;;;
Secteur local;Organismes consulaires;Organisme consulaire;;;;32.0;Chambres de commerce et d'industrie de région (CCI-R);41.0;TA-CVAE - Taxe additionnelle à la cotisation sur la valeur ajoutée des entreprises pour frais de chambres de commerce et d'industrie de région;276000000.0;226117000.0;49883000.0;272000000.0;245117000.0;26883000.0;296000000.0;245117000.0;50883000.0;LFI 2013 et de la LFR-III 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;74.0;Taxe annuelle portant sur les autorisations de médicaments vétérinaires et les autorisations d’établissements pharmaceutiques vétérinaires;4000000.0;4500000.0;0.0;4000000.0;4500000.0;0.0;4000000.0;4500000.0;0.0;LFR 2016 et LFI 2017
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180092553.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18.0;AFITF - Agence de financement des infrastructures de transport de France;293.0;Taxe sur les exploitants d'infrastructures de transports;;;;0.0;;;600000000.0;600000000.0;0.0;LFI 2024
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;143.0;Communes et EPCI (établissements publics de coopération intercommunale) situés dans un rayon maximal autour de l'accès principal aux installations de stockage;179.0;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""de stockage""";3300000.0;;;3300000.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180092553.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18.0;AFITF - Agence de financement des infrastructures de transport de France;26.0;Fraction affectée du produit du relèvement du tarif de taxe intérieure de consommation sur les produits énergétiques (TICPE) sur le carburant gazole;1247500000.0;1247500000.0;0.0;1908403082.0;1908403082.0;0.0;2090357000.0;2090357000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024.0;;;99.0;CNAMTS;241.0;Droits perçus au profit de la Caisse nationale de l'assurance maladie des travailleurs salariés (CNAMTS) en matière de produits de santé, taxe annuelle due par les laboratoires de biologie médicale;81553180.0;;;86038605.0;;;72454690.0;;;
Secteur local;Départements;Département;;;;147.0;Départements (part départementale);196.0;Taxe sur les conventions d'assurance;8471959380.0;;;8760005999.0;;;9292980775.0;;;
Organismes d'administration centrale;Opérateurs État;Groupement d'intérêt public (GIP);130025281.0;Sport, jeunesse et vie associative;219 Sport;201.0;ANS - Agence nationale du sport;70.0;Prélèvement sur les jeux exploités par la FdJ hors paris sportifs;246087951.0;71844000.0;174243951.0;246087951.0;71844000.0;174243951.0;246087951.0;71844000.0;174243951.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;258.0;PEFPC : Participation au financement de la formation des professions non salariées (Artistes auteurs) correspondant au minimum à 0,1% au du montant annuel du plafond de la SS;8900000.0;;;9754400.0;;;15532187.0;;;
Secteur local;Régions;Région;;;;177.0;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;239.0;Taxe due par les entreprises de transport public aérien et maritime sur les passagers embarqués;31870573.0;;;31870573.0;;;48924512.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;36.0;"CTI des matériaux : Centre d'étude et de recherche de l'industrie du béton (CERIB); Centre technique de matériaux naturels de construction (CTMNC)";46.0;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;13079542.0;;;13079542.0;;;13079542.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14.0;SGP - Société du Grand Paris;22.0;Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP - IFER-STIF RATP;75200000.0;76000000.0;0.0;76700000.0;79000000.0;0.0;82223671.0;84000000.0;0.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130006364.0;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;3.0;FranceAgriMer;4.0;Certificats sanitaires et phytosanitaires;0.0;2000000.0;0.0;;;;;;;
Organismes d'administration centrale;Autres personnes morales de droit public dépendant de l'Etat;Service déconcentré de l'État à compétence (inter) régionale;;;;162.0;Fonds national de compensation de l'énergie éolienne en mer (Communes, Comité national de la pêche, activités maritimes);222.0;IFER éoliennes;0.0;;;0.0;;;0.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Exploitant public;;;;44.0;FNAL - Fonds national d'aide au logement;68.0;Cotisation des employeurs;2695000000.0;;;2887000000.0;;;3008000000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445.0;;;102.0;CCMSA (non salariés-maladie);118.0;Taxe sur les boissons édulcorées;37990577.0;;;38598427.0;;;41238661.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180067027.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;47.0;ANAH - Agence nationale de l'habitat;67.0;Taxe annuelle sur les logements vacants;;;;;;;;;;
